source,metric,sub_metric,amount,currency,pages,notes
ar2024,income,interest_income,4726620,EUR_000,106,Profit and Loss Account in annual report
ar2024,income,interest_expense,-4710068,EUR_000,106,Profit and Loss Account in annual report
ar2024,income,net_interest_income,16552,EUR_000,106,Profit and Loss Account in annual report
ar2024,income,net_realised_gains_from_financial_operations,75830,EUR_000,106,Profit and Loss Account in annual report
ar2024,income,write_downs_on_financial_assets,-33498,EUR_000,106,Profit and Loss Account in annual report
ar2024,income,transfer_from_general_risk_provision,795384,EUR_000,106,Profit and Loss Account in annual report
ar2024,income,net_result_of_financial_operations,837716,EUR_000,106,Profit and Loss Account in annual report
ar2024,income,fees_and_commissions,2109,EUR_000,106,Profit and Loss Account in annual report
ar2024,income,equity_instruments_and_participating_interests,2668,EUR_000,106,Profit and Loss Account in annual report
ar2024,income,net_result_of_pooling_monetary_income,-724724,EUR_000,106,Profit and Loss Account in annual report
ar2024,income,funding_levy,237672,EUR_000,106,Profit and Loss Account in annual report
ar2024,income,other_net_income,16254,EUR_000,106,Profit and Loss Account in annual report
ar2024,income,total_net_income,388247,EUR_000,106,Profit and Loss Account in annual report
ar2024,expenditure,net_staff_expenses,-239921,EUR_000,106,Profit and Loss Account in annual report
ar2024,expenditure,other_operating_expenses,-107693,EUR_000,106,Profit and Loss Account in annual report
ar2024,expenditure,unrealised_loss_on_investment_property,-7000,EUR_000,106,Profit and Loss Account in annual report
ar2024,expenditure,depreciation,-28761,EUR_000,106,Profit and Loss Account in annual report
ar2024,expenditure,currency_production_raw_materials,-4872,EUR_000,106,Profit and Loss Account in annual report
ar2024,expenditure,total,-388247,EUR_000,106,Profit and Loss Account in annual report
ar2024,surplus,profit_for_the_year,0,EUR_000,106,Profit and Loss Account in annual report
ar2024,surplus,surplus_income_payable_to_exchequer,0,EUR_000,106,Profit and Loss Account in annual report
ar2024,balance_sheet,total_assets,179094322,EUR_000,107,Balance Sheet in annual report
ar2024,balance_sheet,capital_and_reserves,6271208,EUR_000,108,Balance Sheet in annual report
ar2024,staff,fte_at_year_end,2263,count,,Note 8 Staff Numbers FTE at 31 December in annual report
ar2023,income,interest_income,4323150,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,income,interest_expense,-4535740,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,income,net_interest_income,-212590,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,income,net_realised_gains_from_financial_operations,1043356,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,income,write_downs_on_financial_assets,-41393,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,income,transfer_from_general_risk_provision,131934,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,income,net_result_of_financial_operations,1133897,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,income,fees_and_commissions,4488,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,income,equity_instruments_and_participating_interests,2978,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,income,net_result_of_pooling_monetary_income,-640449,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,income,funding_levy,205017,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,income,other_net_income,17645,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,income,total_net_income,510986,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,expenditure,net_staff_expenses,-213809,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,expenditure,other_operating_expenses,-96920,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,expenditure,unrealised_loss_on_investment_property,-18229,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,expenditure,impairment_charge,-156858,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,expenditure,depreciation,-20890,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,expenditure,currency_production_raw_materials,-4280,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,expenditure,total,-510986,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,surplus,profit_for_the_year,0,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,surplus,surplus_income_payable_to_exchequer,0,EUR_000,106,Profit and Loss Account comparative in annual report
ar2023,balance_sheet,total_assets,184564764,EUR_000,107,Balance Sheet comparative in annual report
ar2023,balance_sheet,capital_and_reserves,6204498,EUR_000,108,Balance Sheet comparative in annual report
ar2023,staff,fte_at_year_end,2234,count,,Note 8 Staff Numbers FTE at 31 December in annual report
ar2022,income,interest_income,1110015,EUR_000,96,Profit and Loss and Appropriation Account in annual report
ar2022,income,interest_expense,-443984,EUR_000,96,Profit and Loss and Appropriation Account in annual report
ar2022,income,net_interest_income,666031,EUR_000,96,Profit and Loss and Appropriation Account in annual report
